rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
73,opcionempleo::112163,opcionempleo,Gerente de Operaciones (electricidad) (Mendoza),Umbral Capital Humano,Gerente de Operaciones,Mendoza,,https://www.opcionempleo.com.ar/jobad/are6aa3f055b0e72e403ba112163c00529,0.10512009435493011,es
74,opcionempleo::93619,opcionempleo,Gerente de Servicios eléctricos (Mendoza),Umbral Capital Humano,Gerente de Operaciones,Mendoza,,https://www.opcionempleo.com.ar/jobad/arb93619a7986eade8dcf7b110accca9e2,0.10512009435493011,es
75,bumeran::1118207455,bumeran,Analista de control de Gestion,Gerentes SRL,Control de Gestión,"Córdoba, Córdoba",Presencial,https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-gerentes-srl-1118207455.html,0.10481920947719088,es
76,opcionempleo::4080985,opcionempleo,Fraud Data Scientist L2,Vana,Data Scientist,Córdoba,,https://www.opcionempleo.com.ar/jobad/arb6fdaf2eb07cb0dbae4080985def75e2,0.10445902700888333,es
77,opcionempleo::70150098,opcionempleo,Responsable De Administración Y Finanzas Buenos Aires,WELEDA S. A.,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6919f1bf1c4e855b2d70150098f83e30,0.10428715060537876,es
78,bumeran::1118181912,bumeran,RESPONSABLE DE COMPRAS,GASTROTEX,Compras / Procurement,CABA,Híbrido,https://www.bumeran.com.ar/empleos/responsable-de-compras-gastrotex-1118181912.html,0.10414390443227176,es
79,opcionempleo::jobadarbf9e43c53e8b10b572c0316cdb114f2d,opcionempleo,Ingeniero De Producción Buenos Aires,SUPLE,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbf9e43c53e8b10b572c0316cdb114f2d,0.10300272828814637,es
80,opcionempleo::1203967157,opcionempleo,Sumate a Nuestro Equipo de Finanzas (Buenos Aires),Asociacion De Cooperativas Argentinas,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara483ba1203967157bbe75c32e4bd7715,0.10274087117310667,es
81,opcionempleo::42399,opcionempleo,Gerente De Compras Y Abastecimiento Buenos Aires,ViaSano Salud,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar885b20b6cabae42399e59b014091bebe,0.10265831306392842,es
82,opcionempleo::1941533,opcionempleo,Responsable De Control De Gestión (Neuquén),Patagonia Resources,Control de Gestión,Neuquén,,https://www.opcionempleo.com.ar/jobad/arde38ae88ae0ac1941533f0515f278fd2,0.10263197527616566,es
83,bumeran::1118213316,bumeran,Analista de Control de Gestión,Mooks,Control de Gestión,CABA,Híbrido,https://www.bumeran.com.ar/empleos/analista-de-control-de-gestion-mooks-1118213316.html,0.10262456596315846,es
84,bumeran::1118130320,bumeran,Analista de Compras Sr,AV Evoluciona Consultoría,Compras / Procurement,"Gran Buenos Aires, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/analista-de-compras-sr-av-evoluciona-consultoria-1118130320.html,0.10247041163928097,es
85,bumeran::1118175812,bumeran,Analista de Finanzas,INV LIBERTAD SA,Finanzas / CAPEX,CABA,Híbrido,https://www.bumeran.com.ar/empleos/analista-de-finanzas-inv-libertad-sa-1118175812.html,0.10171417232407512,es
86,bumeran::1118108687,bumeran,Analista de compras,Punto y coma publicidad integral SA,Compras / Procurement,"Buenos Aires, Argentina",Presencial,https://www.bumeran.com.ar/empleos/analista-de-compras-punto-y-coma-publicidad-integral-sa-1118108687.html,0.1013935818221436,es
87,opcionempleo::jobadar0d6166b1626d055bfa5360e4fbea359e,opcionempleo,Analista de Control y Gestion (Belgrano),Pacifica Continental,Control de Gestión,"Belgrano, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar0d6166b1626d055bfa5360e4fbea359e,0.10127134616419338,es
88,opcionempleo::16359,opcionempleo,Planificador/a y Programador/a de Mantenimiento,Grassi SA,Excel / VBA,Santa Fe,,https://www.opcionempleo.com.ar/jobad/ar16359cab65b8ac2ffe0ebcb5fb8c9fe1,0.10120694735580384,es
89,opcionempleo::jobadarebfe1ea66a8554b6e30e53a86c23d152,opcionempleo,Analista De Planeamiento Y Control De Gestión Buenos Aires,Instituto Tecnológico de Buenos Aires,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arebfe1ea66a8554b6e30e53a86c23d152,0.10087079773287888,es
90,opcionempleo::786648,opcionempleo,Analista de Planeamiento y Control de Gestión (Buenos Aires),Itba,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar7f41b53d5d786648fce5f2fe6f3a00e0,0.10041302355476737,es
91,bumeran::1118199639,bumeran,Gerente de Administracion y Finanzas,ONIX HUMAN RESOURCES CONSULTING S.A.,Finanzas / CAPEX,"Olivos, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/gerente-de-administracion-y-finanzas-onix-human-resources-consulting-s.a.-1118199639.html,0.1002895409468978,es
92,opcionempleo::006580,opcionempleo,Business Analyst,Talentcross,BI / Analytics,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arc01b859b006580a727378d36fbc39d9e,0.1001960084145878,es
93,bumeran::1118207499,bumeran,Gerente de Administración Finanzas y Contabilidad,laspipol laspipol,Finanzas / CAPEX,"Don Torcuato, Buenos Aires",Presencial,https://www.bumeran.com.ar/empleos/gerente-de-administracion-finanzas-y-contabilidad-laspipol-laspipol-1118207499.html,0.10017871006581341,es
94,opcionempleo::jobadar9a078cc8fbd9039c1463dedebd74c07a,opcionempleo,Ingeniero PLC&dcs (Puerto Esperanza),Arauco US,Ingeniero Industrial,"Puerto Esperanza, Misiones",,https://www.opcionempleo.com.ar/jobad/ar9a078cc8fbd9039c1463dedebd74c07a,0.09985731883177808,es
95,opcionempleo::302713288,opcionempleo,Analista de Control de Gestión (Buenos Aires),Natalia Sitta,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar22f79d41db302713288dd47cf8be01ee,0.09957887312401338,es
96,opcionempleo::jobadarfaf2653dd3815c462bcc22d14abfb125,opcionempleo,Gerente de Compras (Buenos Aires),Natural Life,Compras / Procurement,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arfaf2653dd3815c462bcc22d14abfb125,0.09946198590942859,es
97,opcionempleo::11498,opcionempleo,JEFE DE COMPRAS | HOTEL SOFITEL LA RESERVA CARDALES,Accor,Compras / Procurement,"Campana, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar63abf11498c8269bc856b3bcfcdea74e,0.09911526533997574,es
98,opcionempleo::2635801,opcionempleo,Coordinador de Control De Gestion (Buenos Aires),Newsan,Control de Gestión,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/areccf663a96b2635801cd0a7022c97eeb,0.0990346128017554,es
99,opcionempleo::jobadarb42c0e4f78d54d8d31f517ff82dd18fe,opcionempleo,Gerente de Produccion (Maipú),Adecco,Gerente de Operaciones,"Maipú, Provincia de Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arb42c0e4f78d54d8d31f517ff82dd18fe,0.09889709868616826,es
100,opcionempleo::786078,opcionempleo,Gerente De Operaciones Rubro Construcción Florida Florida Oeste (Argentina),IngeJobs,Gerente de Operaciones,Argentina,,https://www.opcionempleo.com.ar/jobad/ar35f3e4a944a562d786078da6e9dfa2d1,0.09849341532250427,es
101,opcionempleo::758921,opcionempleo,Analista de Procesos de Supply Chain,Serial de la Torre,Supply Chain,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arb1068c15ad576eea25d758921efbd432,0.09839888409960888,es
102,opcionempleo::461569470,opcionempleo,Jefe/a de Control de Gestión (Barracas),Grupo Metropol,Control de Gestión,"Barracas, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar461569470c64042d431fc602d3441e8d,0.09763173244670006,es
103,opcionempleo::jobadara5d512ef07ef777cc0e8baeb121c999b,opcionempleo,INGENIERO PLANIFICACION - MIDSTREAM OIL (Buenos Aires),YPF,Ingeniero Industrial,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ara5d512ef07ef777cc0e8baeb121c999b,0.09752430908366129,es
104,opcionempleo::jobadarc193ed6eb2e9a3baf5237dc522e87d0a,opcionempleo,Supervisor Técnico Ingeniero y Técnicos operativos San lorenzo Rosario,LEZCANO VANESA ITATI,Ingeniero Industrial,"Rosario, Santa Fe",,https://www.opcionempleo.com.ar/jobad/arc193ed6eb2e9a3baf5237dc522e87d0a,0.09700741692028984,es
105,opcionempleo::91910,opcionempleo,Analista Senior de Administración & Finanzas (Buenos Aires),Iafis Group,Finanzas / CAPEX,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar91910ef46bc4ebe160bbc1decbd189de,0.0967660142216674,es
