rank_tfidf,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,similitud_tfidf,idioma
325,opcionempleo::3601653,opcionempleo,Software Engineer Senior Productivity Genai Buenos Aires,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar80c6a5d50b81a48b6db19a07f3601653,0.05477315859524243,es
326,jobrapido::5499717130892869632,jobrapido,Desarrollador .Net Full Stack Semi Senior — Remoto (Rosario),Greencode Software,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/5499717130892869632?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F53013155%252Fdesarrollador-net-full-stack-semi-senior-remoto-rosario&w=Python&p=3,0.05465633971515191,es
327,linkedin::4456035055,linkedin,BI & AI Marketing Analyst,We Are Pipol,Data Analyst,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4456035055,0.05451266824256277,es
328,opcionempleo::jobadar045bf0b7cd0bf010ba1aeb47e3e2d599,opcionempleo,Hardware / Software Engineer – Creative Technology (Hibrido) - ID #00254 (Buenos Aires),Werben HR,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar045bf0b7cd0bf010ba1aeb47e3e2d599,0.054506769550572494,es
329,getonboard::qa-program-lead-bc-tecnologia-lima,getonboard,QA Program Lead,,NLP Engineer,Peru,Híbrido,https://www.getonbrd.com/jobs/qa-program-lead-bc-tecnologia-lima,0.05450155111413871,es
330,linkedin::4454118091,linkedin,Desarrollador Backend SSR,Practia Global,Python Developer,Argentina,,https://www.linkedin.com/jobs/view/4454118091,0.054416560688008736,es
331,opcionempleo::34857,opcionempleo,Software Engineer (Arquitecto de Software) Senior (San Nicolás),C\u0026S informatica,Software Engineer,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar93c1ca34857dc731675955f5bd3ced30,0.054381959261289664,es
332,opcionempleo::9174528,opcionempleo,Ingeniero/a de Desarrollo de Software IBM Informix (Buenos Aires),C&S Informática,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6410e291cbd99af677ad9e85b9174528,0.054246099073365216,es
333,linkedin::4441015608,linkedin,Senior Software Engineer,Mercado Libre,Python Developer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4441015608,0.05420744847407834,es
334,opcionempleo::54870,opcionempleo,Programador/Desarrollador SAP Fiori Semi Senior (San Nicolás),C\u0026S informatica,Desarrollador Backend,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ar91eea7349f54870db23bf120c1f68164,0.05416944419704293,es
335,opcionempleo::003924956,opcionempleo,Ref. 21425 Lider de Desarrollo .Net Belgrano CABA,ADN Recursos Humanos,Desarrollador Full Stack,Argentina,,https://www.opcionempleo.com.ar/jobad/ar17a303a003924956f98b7c10a530bf6d,0.053893165120168555,es
336,opcionempleo::6262861,opcionempleo,Ingeniero de Microsoft Teams/365 Senior (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/ara2a89a6262861a45fb06190365adb2c6,0.0538571660888082,es
337,linkedin::4454114695,linkedin,Senior Applied AI Engineer,Nonconformist,Machine Learning Engineer,Buenos Aires y alrededores,,https://www.linkedin.com/jobs/view/4454114695,0.05380105086828184,es
338,opcionempleo::97085,opcionempleo,Ingeniero de Microsoft 365/Teams Senior (San Nicolás),C\u0026S informatica,Ingeniero de Datos,"San Nicolás, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arc6c6b97085bac575c24470de93c565d5,0.0537863094183627,es
339,linkedin::4459226342,linkedin,Analista de Ingeniería de Datos & IA - Fintech,Mercado Libre,Ingeniero de Datos,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4459226342,0.05376377917853428,es
340,opcionempleo::jobadare47ec9b10cb9bc1aeedb25a09ac0bb4c,opcionempleo,Científico De Datos - Especialista En Machine Learning Y Cloud Mlops,MaxIT Consulting - Max Corporate Group,Machine Learning Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are47ec9b10cb9bc1aeedb25a09ac0bb4c,0.05376280581915879,es
341,getonboard::analista-desarrollador-senior-as-400-agilistik-santiago,getonboard,Analista Desarrollador Senior As/400,,NLP Engineer,Chile,Híbrido,https://www.getonbrd.com/jobs/analista-desarrollador-senior-as-400-agilistik-santiago,0.05372568248327292,es
342,opcionempleo::171751754,opcionempleo,Staff Software Engineer,Ualá,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are51e042f6bf11cef171751754f20004e,0.05356847656313032,es
343,getonboard::senior-fullstack-software-engineer-react-y-python-maxxa-remote,getonboard,Senior Full-Stack Software Engineer — React y Python,,NLP Engineer,Remoto,Remoto,https://www.getonbrd.com/jobs/senior-fullstack-software-engineer-react-y-python-maxxa-remote,0.053532408361588395,es
344,opcionempleo::jobadare9c75bde338f8a88bbd57bc4e5385b0c,opcionempleo,Implementations Analyst Jr. (Buenos Aires),Lara AI,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/are9c75bde338f8a88bbd57bc4e5385b0c,0.05352047751272779,es
345,linkedin::4429473667,linkedin,Fullstack Developer - Max Pay,Max Capital,Desarrollador Full Stack,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4429473667,0.05332592368493021,es
346,opcionempleo::7449930,opcionempleo,Data & BI Analyst,Adecco,Data Analyst,Neuquén,,https://www.opcionempleo.com.ar/jobad/arfa04ebbdf2ed7449930c4f7990b33198,0.0532690788277453,es
347,getonboard::ai-engineer-senior-ia-generativa-bc-tecnologia-santiago,getonboard,AI Engineer IA Generativa,,Machine Learning,Chile,Híbrido,https://www.getonbrd.com/jobs/ai-engineer-senior-ia-generativa-bc-tecnologia-santiago,0.05326477570655709,es
348,opcionempleo::50354,opcionempleo,Machine Learning Engineer,MercadoLibre,Machine Learning Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbe4cecef50354ff3e743b39f0c6e4ad0,0.053072288353867354,es
349,opcionempleo::60239,opcionempleo,Junior Data Analyst,Southbay,Data Analyst,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar73cb60239efca1bb6750c948026803e6,0.05296122764088369,es
