rank_final,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_final,similitud_embed,similitud_tfidf,rank_embed,rank_tfidf
611,opcionempleo::77055,opcionempleo,Senior Backend Python IA Developer Remoto para residentes en Argentina (Monserrat),Kaizen Recursos Humanos,Python Developer,Argentina,,https://www.opcionempleo.com.ar/jobad/arc0600b77055db69eb65f7471a257c6df,0.35326708258170203,0.29932556,0.0252684588137944,509,839
612,opcionempleo::11361,opcionempleo,Analista/Desarrollador Botmaker (SSR/ Senior) — Automatización de Canales Digitales (Medellín),FLEX TECH,NLP Engineer,Argentina,,https://www.opcionempleo.com.ar/jobad/arb277e87fa5e783a11361e504fb894596,0.3531725939595185,0.266759,0.0504077023373039,732,405
613,opcionempleo::521209,opcionempleo,Ref. 21425 Desarrollador Senior .NET Belgrano CABA Presencial,ADN Recursos Humanos,Desarrollador Full Stack,"Belgrano, Buenos Aires",,https://www.opcionempleo.com.ar/jobad/arcb521209e1bc83bdaa3b73691bb2596a,0.353164122330847,0.2902484,0.0322278385814958,569,716
614,bumeran::1118400545,bumeran,DESARROLLADOR/A FULL STACK para Empresa de servicios de gas,Generacion Talento,Software Engineer,"Villa Luzuriaga, Buenos Aires",Híbrido,https://www.bumeran.com.ar/empleos/desarrollador-a-full-stack-para-empresa-de-servicios-de-gas-generacion-talento-1118400545.html,0.35303499879475475,0.30564323,0.0202361007238798,460,928
615,getonboard::desarrollador-full-stack-senior-java-angular-bc-tecnologia-santiago,getonboard,Desarrollador Full-Stack Senior Java/angular,,Backend,Chile,Híbrido,https://www.getonbrd.com/jobs/desarrollador-full-stack-senior-java-angular-bc-tecnologia-santiago,0.3529617614980285,0.26638705,0.0505645454453865,737,403
616,getonboard::ingeniero-a-de-datos-aws-big-data-bc-tecnologia-remote,getonboard,Ingeniero/a de Datos AWS,,Ingeniero de Datos,Remoto,Remoto,https://www.getonbrd.com/jobs/ingeniero-a-de-datos-aws-big-data-bc-tecnologia-remote,0.3527141836084366,0.2802235,0.039705010759695,640,604
617,linkedin::4455018579,linkedin,"Backend Engineer, Payments Team",SQUIRE,Desarrollador Backend,"Buenos Aires, Argentina",,https://www.linkedin.com/jobs/view/4455018579,0.35259087051291615,0.3236466,0.0060303911527742,361,1273
618,linkedin::4461263618,linkedin,Senior Business Intelligence Analyst,Talent Edge Recruiting,Data Analyst,Argentina,,https://www.linkedin.com/jobs/view/4461263618,0.35233800053909514,0.31089666,0.0157384252359155,428,1016
619,opcionempleo::39417,opcionempleo,Desarrollador Backend Golang Senior 194967,Adecco,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar39417bc2170f9537441512171fbe87bd,0.3522017876264017,0.31378514,0.0134189014476961,402,1078
620,jobrapido::7516925349834260480,jobrapido,Desarrollador/A Full Stack Php (Rosario),NEO BIZ S. R. L.,Desarrollador Full Stack,"Rosario, Santa Fe",,https://ar.jobrapido.com/jobpreview/7516925349834260480?redirectTo=https%253A%252F%252Fwww.kitempleo.com.ar%252Fempleo%252F52580871%252Fdesarrollador-a-full-stack-php-rosario&w=Python&p=2,0.3517658921898483,0.21898073,0.0865017823886574,1061,77
