rank_optimizado,id_consolidado,fuente,titulo,empresa,keyword,ubicacion,modalidad,url,score_optimizado,similitud_tfidf
524,linkedin::4461513152,linkedin,Data Engineer Ssr,Universia Argentina,Data Engineer,"Córdoba, Córdoba, Argentina",,https://www.linkedin.com/jobs/view/4461513152,0.23512519889210431,0.0438109037496017
525,opcionempleo::32111518,opcionempleo,Desarrollador/a Backend Python,Credencial Payments,Desarrollador Backend,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar6228eabf32111518ea720f09acf2c1d2,0.2349121375851944,0.0437712040132324
526,opcionempleo::525584,opcionempleo,Sr Software Engineer Genai Security Buenos Aires,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar525584c4c16e8ed6f074ddd8954774b6,0.23393921592994568,0.0435899194159419
527,opcionempleo::8679709,opcionempleo,Ingeniero De Datos + Ingles Buenos Aires,Join ready,Ingeniero de Datos,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar1fb3a5f8679709ec3efea9281accebe9,0.2336485374224154,0.043535757258183
528,zonajobs::2189190,zonajobs,Data Engineer Senior,IT SM Consulting S.A.,Data Engineer,CABA,Híbrido,https://www.zonajobs.com.ar/empleos/data-engineer-senior-it-sm-consulting-s.a.-2189190.html,0.23350940328977177,0.0435098323801935
529,bumeran::1118425270,bumeran,Data Engineer Senior,ITSM CONSULTING SA,Data Engineer,CABA,Híbrido,https://www.bumeran.com.ar/empleos/data-engineer-senior-itsm-consulting-sa-1118425270.html,0.23350940328977177,0.0435098323801935
530,getonboard::tech-lead-grupo-mariposa-remote-745d,getonboard,Tech Lead,,Backend,Remoto,Remoto,https://www.getonbrd.com/jobs/tech-lead-grupo-mariposa-remote-745d,0.23339606662839296,0.043488714347816
531,opcionempleo::44555,opcionempleo,Sr Software Engineer Genai Security,MercadoLibre,Software Engineer,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/arbfe44555b97ab2fd38b0499adf5e1dbd,0.23339444894407763,0.0434884129245225
532,bumeran::1118424509,bumeran,Desarrollador,Grupo Taraborelli,Software Engineer,CABA,Presencial,https://www.bumeran.com.ar/empleos/desarrollador-grupo-taraborelli-1118424509.html,0.23291467113237965,0.0433990158729579
533,opcionempleo::71085,opcionempleo,Data Scientist (Sr) - Machine Learning Y Cloud Mlops,MaxIT Consulting - Max Corporate Group,Data Scientist,Buenos Aires,,https://www.opcionempleo.com.ar/jobad/ar21b71085efa16f6e9b5018da82b38ccb,0.2324226459546775,0.0433073367683606
